timestamp,transformer_id,load_percentage,oil_temperature_c,winding_temperature_c,vibration_mm_s,dissolved_hydrogen_ppm,dissolved_acetylene_ppm,iso_forest_pred,anomaly_score,anomaly_flag
2026-06-01 00:00:00,TX-ALPHA-01,81.28,41.56,56.68,2.478,21.16,0.48,0,0.1311,0
2026-06-01 01:00:00,TX-ALPHA-01,72.68,40.61,54.18,2.53,24.03,0.25,0,0.1424,0
2026-06-01 02:00:00,TX-ALPHA-01,77.54,39.71,53.73,2.595,46.01,1.07,0,0.1088,0
2026-06-01 03:00:00,TX-ALPHA-01,68.29,34.83,45.22,2.285,36.47,0.46,0,0.1666,0
2026-06-01 04:00:00,TX-ALPHA-01,64.8,36.08,45.49,2.586,10.99,0.51,0,0.1502,0
2026-06-01 05:00:00,TX-ALPHA-01,60.69,38.29,48.08,2.605,21.1,0.22,0,0.0729,0
2026-06-01 06:00:00,TX-ALPHA-01,59.17,39.51,48.16,2.414,11.2,0.34,0,0.0819,0
2026-06-01 07:00:00,TX-ALPHA-01,57.99,47.89,56.33,2.178,13.88,1.56,0,0.0468,0
2026-06-01 08:00:00,TX-ALPHA-01,62.63,40.57,51.12,1.923,28.21,3.05,0,0.1611,0
2026-06-01 09:00:00,TX-ALPHA-01,67.39,46.87,58.46,2.179,73.66,1.09,0,0.0923,0
2026-06-01 10:00:00,TX-ALPHA-01,79.29,55.6,70.19,2.812,13.1,0.92,0,0.1484,0
2026-06-01 11:00:00,TX-ALPHA-01,78.6,58.68,72.77,2.55,48.79,0.44,0,0.1635,0
2026-06-01 12:00:00,TX-ALPHA-01,90.16,62.4,82.21,2.649,44.11,1.41,1,0.4164,0
2026-06-01 13:00:00,TX-ALPHA-01,75.47,60.74,73.7,2.716,15.9,1.04,0,0.1641,0
2026-06-01 14:00:00,TX-ALPHA-01,74.33,57.84,72.65,2.646,20.48,0.74,0,0.0768,0
2026-06-01 15:00:00,TX-ALPHA-01,69.43,55.31,66.66,2.147,38.57,0.35,0,0.0456,0
2026-06-01 16:00:00,TX-ALPHA-01,68.3,56.03,68.78,2.643,28.18,0.48,0,0.0495,0
2026-06-01 17:00:00,TX-ALPHA-01,72.09,78.9,99.53,2.649,17.06,0.89,1,0.5401,1
2026-06-01 18:00:00,TX-ALPHA-01,57.38,53.33,62.27,2.337,37.68,0.62,0,0.1209,0
2026-06-01 19:00:00,TX-ALPHA-01,48.71,43.78,49.15,2.008,11.48,2.38,1,0.403,0
2026-06-01 20:00:00,TX-ALPHA-01,68.94,44.66,57.42,2.561,356.9,31.02,1,0.7476,1
2026-06-01 21:00:00,TX-ALPHA-01,67.54,44.11,55.84,2.339,52.26,0.59,0,0.0602,0
2026-06-01 22:00:00,TX-ALPHA-01,74.03,45.24,59.64,2.44,10.35,0.46,0,0.0278,0
2026-06-01 23:00:00,TX-ALPHA-01,79.55,44.74,60.65,2.754,79.86,0.57,0,0.1784,0
2026-06-02 00:00:00,TX-ALPHA-01,78.24,45.58,59.82,2.798,43.88,0.21,0,0.107,0
2026-06-02 01:00:00,TX-ALPHA-01,77.8,44.66,58.28,2.358,26.74,1.45,0,0.1036,0
2026-06-02 02:00:00,TX-ALPHA-01,73.71,39.33,53.36,2.798,11.6,1.17,0,0.1922,0
2026-06-02 03:00:00,TX-ALPHA-01,68.43,36.05,48.28,2.727,18.28,0.29,0,0.1655,0
2026-06-02 04:00:00,TX-ALPHA-01,126.12,33.96,70.44,2.13,40.44,2.84,1,0.9678,1
2026-06-02 05:00:00,TX-ALPHA-01,57.82,39.74,47.94,2.546,30.04,2.75,0,0.1866,0
2026-06-02 06:00:00,TX-ALPHA-01,52.05,39.07,45.96,1.869,14.52,0.23,0,0.2463,0
