asset_id,predicted_fault,fault_probability,prob_fault_1,prob_fault_2,prob_fault_3,prob_fault_4,predicted_rul,anomaly_score,risk_score,risk_category,recommended_action,top_3_risk_factors,explanation
2_trans_939.csv,4,0.9998,0.0002,0.0,0.0,0.9998,417.27,51.08,85.12,CRITICAL,Immediate inspection and maintenance recommended. Prioritize this transformer for engineering review.,1. Predicted Class 4 arcing pattern (confidence 100.0%); 2. Critically depleted remaining useful life (approx. 417 cycles); 3. Elevated terminal Ethylene concentration (C2H4 = 0.00873),"Model predicts Class 4: High-Energy Electrical Arcing / Flashover with high confidence (100.0%). Predicted Class 4 arcing pattern (confidence 100.0%) and Critically depleted remaining useful life (approx. 417 cycles) serve as strong contributing DGA signals consistent with the predicted fault pattern, while predicted RUL is approximately 417 cycles. Immediate inspection and maintenance recommended. Prioritize this transformer for engineering review."
2_trans_1672.csv,4,1.0,0.0,0.0,0.0,1.0,465.13,54.59,83.71,HIGH,Schedule urgent inspection/maintenance and closely monitor the transformer.,1. Predicted Class 4 arcing pattern (confidence 100.0%); 2. Elevated terminal Acetylene concentration (C2H2 = 0.00046); 3. Critically depleted remaining useful life (approx. 465 cycles),"Model identifies Class 4: High-Energy Electrical Arcing / Flashover pattern (100.0% confidence). Predicted Class 4 arcing pattern (confidence 100.0%) is an important indicator of significant asset degradation, accompanied by Elevated terminal Acetylene concentration (C2H2 = 0.00046), while estimated RUL is 465 cycles. Schedule urgent inspection/maintenance and closely monitor the transformer."
2_trans_1036.csv,4,1.0,0.0,0.0,0.0,1.0,437.32,45.87,82.86,HIGH,Schedule urgent inspection/maintenance and closely monitor the transformer.,1. Predicted Class 4 arcing pattern (confidence 100.0%); 2. Elevated terminal Acetylene concentration (C2H2 = 0.00053); 3. Critically depleted remaining useful life (approx. 437 cycles),"Model identifies Class 4: High-Energy Electrical Arcing / Flashover pattern (100.0% confidence). Predicted Class 4 arcing pattern (confidence 100.0%) is an important indicator of significant asset degradation, accompanied by Elevated terminal Acetylene concentration (C2H2 = 0.00053), while estimated RUL is 437 cycles. Schedule urgent inspection/maintenance and closely monitor the transformer."
2_trans_1081.csv,4,1.0,0.0,0.0,0.0,1.0,482.82,48.93,81.45,HIGH,Schedule urgent inspection/maintenance and closely monitor the transformer.,1. Predicted Class 4 arcing pattern (confidence 100.0%); 2. Critically depleted remaining useful life (approx. 483 cycles); 3. Elevated terminal Hydrogen concentration (H2 = 0.00463),"Model identifies Class 4: High-Energy Electrical Arcing / Flashover pattern (100.0% confidence). Predicted Class 4 arcing pattern (confidence 100.0%) is an important indicator of significant asset degradation, accompanied by Critically depleted remaining useful life (approx. 483 cycles), while estimated RUL is 483 cycles. Schedule urgent inspection/maintenance and closely monitor the transformer."
2_trans_81.csv,4,1.0,0.0,0.0,0.0,1.0,830.65,28.87,59.78,MEDIUM,Schedule planned inspection and continue monitoring.,1. Predicted Class 4 arcing pattern (confidence 100.0%); 2. Elevated terminal Hydrogen concentration (H2 = 0.00351); 3. DGA combustible gas concentrations remain within standard limits,"Model identifies Class 4: High-Energy Electrical Arcing / Flashover pattern (100.0% confidence). Predicted Class 4 arcing pattern (confidence 100.0%) represents an important indicator of moderate operational stress, with estimated remaining useful life at 831 cycles. Schedule planned inspection and continue monitoring."
2_trans_2911.csv,2,1.0,0.0,1.0,0.0,0.0,507.45,38.64,59.7,MEDIUM,Schedule planned inspection and continue monitoring.,1. Elevated terminal Hydrogen concentration (H2 = 0.00401); 2. Predicted Class 2 partial discharge pattern (confidence 100.0%); 3. Substantially degraded remaining useful life (507 cycles),"Model identifies Class 2: Low-Energy Partial Discharge (PD / Corona) pattern (100.0% confidence). Elevated terminal Hydrogen concentration (H2 = 0.00401) represents an important indicator of moderate operational stress, with estimated remaining useful life at 507 cycles. Schedule planned inspection and continue monitoring."
2_trans_1851.csv,3,1.0,0.0,0.0,1.0,0.0,676.28,29.55,59.34,MEDIUM,Schedule planned inspection and continue monitoring.,1. Elevated terminal Acetylene concentration (C2H2 = 0.00032); 2. Predicted Class 3 thermal breakdown pattern (confidence 100.0%); 3. Elevated terminal Ethylene concentration (C2H4 = 0.01059),"Model identifies Class 3: High-Temperature Thermal Oil Breakdown (> 700°C) pattern (100.0% confidence). Elevated terminal Acetylene concentration (C2H2 = 0.00032) represents an important indicator of moderate operational stress, with estimated remaining useful life at 676 cycles. Schedule planned inspection and continue monitoring."
2_trans_2556.csv,1,0.9999,0.9999,0.0,0.0001,0.0,610.0,47.31,34.96,LOW,Continue normal monitoring and scheduled maintenance.,1. Elevated terminal Ethylene concentration (C2H4 = 0.01271); 2. Accelerating combustible gas generation slope; 3. Substantially degraded remaining useful life (610 cycles),"Model classifies asset as Class 1: Normal Baseline Degradation (Cellulose Aging) (100.0% confidence). Combustible gas measurements are consistent with the healthy Category 1 operating baseline, and predicted RUL is healthy at approximately 610 cycles. Continue normal monitoring and scheduled maintenance."
2_trans_1343.csv,1,1.0,1.0,0.0,0.0,0.0,525.2,30.69,34.86,LOW,Continue normal monitoring and scheduled maintenance.,1. High total combustible gas accumulation (TDCG = 0.0498); 2. Substantially degraded remaining useful life (525 cycles); 3. Operating within normal Category 1 cellulose aging limits,"Model classifies asset as Class 1: Normal Baseline Degradation (Cellulose Aging) (100.0% confidence). Combustible gas measurements are consistent with the healthy Category 1 operating baseline, and predicted RUL is healthy at approximately 525 cycles. Continue normal monitoring and scheduled maintenance."
2_trans_2014.csv,1,0.9983,0.9983,0.0,0.0,0.0017,578.38,40.39,34.81,LOW,Continue normal monitoring and scheduled maintenance.,1. Elevated terminal Hydrogen concentration (H2 = 0.00411); 2. Substantially degraded remaining useful life (578 cycles); 3. Moderate statistical deviation from Category 1 baseline (40.4/100),"Model classifies asset as Class 1: Normal Baseline Degradation (Cellulose Aging) (99.8% confidence). Combustible gas measurements are consistent with the healthy Category 1 operating baseline, and predicted RUL is healthy at approximately 578 cycles. Continue normal monitoring and scheduled maintenance."
