feature,importance,rank
C2H4_TDCG_ratio,0.036666666666666625,1
H2_TDCG_ratio,0.03411111111111106,2
CO_TDCG_ratio,0.020222222222222162,3
ratio_H2_C2H4,0.019333333333333293,4
CO_recent_50pct_mean,0.0043333333333333,5
CO_cv,0.002555555555555533,6
CO_recent_20pct_mean,0.0014444444444444149,7
CO_pct_change,0.0009999999999999898,8
H2_cv,0.0009999999999999788,9
H2_std,0.0007777777777777439,10
H2_min,0.0005555555555555314,11
C2H2_range,0.0004444444444444251,12
CO_recent_10pct_slope,0.0004444444444444251,13
CO_recent_20pct_slope,0.0004444444444444251,14
C2H2_recent_50pct_mean,0.0004444444444444251,15
C2H4_recent_20pct_mean,0.00033333333333331885,16
C2H2_std,0.00033333333333331885,17
C2H2_min,0.00033333333333331885,18
C2H4_max,0.00033333333333331885,19
CO_median,0.0003333333333332966,20
ratio_CO_H2,0.00022222222222219036,21
C2H2_abs_change,0.00011111111111110628,22
CO_mean,0.00011111111111109518,23
H2_recent_20pct_slope,0.00011111111111108407,24
C2H2_slope,0.0,25
TDCG_slope,0.0,26
C2H2_median,0.0,27
C2H2_max,0.0,28
CO_range,0.0,29
H2_max,0.0,30
H2_first,0.0,31
H2_slope,0.0,32
C2H2_first,0.0,33
C2H2_pct_change,0.0,34
C2H4_slope,0.0,35
C2H2_TDCG_ratio,0.0,36
C2H2_hydrocarbon_ratio,0.0,37
CO_slope,0.0,38
C2H2_recent_20pct_mean,-1.1102230246251566e-17,39
CO_recent_10pct_mean,-2.2204460492503132e-17,40
H2_final,-2.2204460492503132e-17,41
C2H2_recent_10pct_slope,-0.00011111111111111738,42
H2_recent_10pct_slope,-0.00011111111111111738,43
CO_min,-0.00011111111111112848,44
H2_recent_20pct_mean,-0.00011111111111113958,45
CO_std,-0.00011111111111115069,46
C2H2_final,-0.00022222222222223476,47
H2_range,-0.00022222222222223476,48
CO_final,-0.00022222222222223476,49
H2_pct_change,-0.00022222222222225695,50
C2H4_hydrocarbon_ratio,-0.00033333333333335213,51
CO_max,-0.00033333333333336325,52
C2H4_range,-0.0004444444444444695,53
CO_abs_change,-0.0004444444444444695,54
C2H4_final,-0.0004444444444444806,55
TDCG_abs_change,-0.0005555555555555869,56
C2H2_mean,-0.0005555555555555869,57
ratio_C2H2_C2H4,-0.000555555555555598,58
TDCG_mean,-0.0006666666666666932,59
H2_median,-0.0006666666666667043,60
C2H4_abs_change,-0.0006666666666667043,61
C2H4_first,-0.0007777777777778106,62
C2H4_recent_20pct_slope,-0.0007777777777778106,63
TDCG_final,-0.0007777777777778106,64
C2H2_recent_20pct_slope,-0.0007777777777778216,65
H2_abs_change,-0.0007777777777778216,66
C2H2_recent_10pct_mean,-0.0007777777777778216,67
C2H4_recent_10pct_mean,-0.0007777777777778327,68
TDCG_max,-0.0008888888888889168,69
C2H4_mean,-0.000888888888888928,70
C2H2_cv,-0.000888888888888939,71
C2H4_cv,-0.000888888888888939,72
CO_first,-0.0010000000000000453,73
C2H4_pct_change,-0.0010000000000000564,74
C2H4_recent_50pct_mean,-0.0010000000000000564,75
C2H4_std,-0.00122222222222228,76
H2_recent_10pct_mean,-0.001333333333333364,77
H2_recent_50pct_mean,-0.0014444444444444815,78
C2H4_recent_10pct_slope,-0.0014444444444444815,79
C2H4_min,-0.0014444444444444925,80
C2H4_median,-0.0014444444444444925,81
H2_mean,-0.0016666666666667052,82
