timestamp,transformer_id,load_percentage,winding_temperature_c,oil_temperature_c,predicted_stress_index,anomaly_intensity,dga_severity_index,composite_risk_score,risk_tier,recommended_action
2026-06-01 00:00:00,TX-ALPHA-01,81.28,56.68,41.56,21.67,13.11,6.71,14.93,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-01 01:00:00,TX-ALPHA-01,72.68,54.18,40.61,16.14,14.24,5.54,12.82,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-01 02:00:00,TX-ALPHA-01,77.54,53.73,39.71,19.68,10.88,11.25,14.5,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-01 03:00:00,TX-ALPHA-01,68.29,45.22,34.83,12.2,16.66,8.31,12.79,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-01 04:00:00,TX-ALPHA-01,64.8,45.49,36.08,12.58,15.02,5.15,11.58,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-01 05:00:00,TX-ALPHA-01,60.69,48.08,38.29,9.92,7.29,5.82,7.97,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-01 06:00:00,TX-ALPHA-01,59.17,48.16,39.51,7.74,8.19,4.55,7.1,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-01 07:00:00,TX-ALPHA-01,57.99,56.33,47.89,5.83,4.68,9.38,6.32,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-01 08:00:00,TX-ALPHA-01,62.63,51.12,40.57,7.2,16.11,15.93,12.5,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-01 09:00:00,TX-ALPHA-01,67.39,58.46,46.87,11.38,9.23,14.73,11.47,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-01 10:00:00,TX-ALPHA-01,79.29,70.19,55.6,30.72,14.84,6.12,19.01,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-01 11:00:00,TX-ALPHA-01,78.6,72.77,58.68,30.43,16.35,13.1,21.17,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-01 12:00:00,TX-ALPHA-01,90.16,82.21,62.4,45.2,41.64,15.91,36.63,MEDIUM,ADVISORY: Increase SCADA polling frequency to 5 minutes; monitor hot-spot temperature delta.
2026-06-01 13:00:00,TX-ALPHA-01,75.47,73.7,60.74,31.07,16.41,9.53,20.56,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-01 14:00:00,TX-ALPHA-01,74.33,72.65,57.84,27.63,7.68,8.08,15.76,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-01 15:00:00,TX-ALPHA-01,69.43,66.66,55.31,18.66,4.56,8.08,11.08,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-01 16:00:00,TX-ALPHA-01,68.3,68.78,56.03,20.91,4.95,7.35,11.93,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-01 17:00:00,TX-ALPHA-01,72.09,99.53,78.9,59.89,54.01,6.63,44.51,MEDIUM,ADVISORY: Increase SCADA polling frequency to 5 minutes; monitor hot-spot temperature delta.
2026-06-01 18:00:00,TX-ALPHA-01,57.38,62.27,53.33,8.65,12.09,8.54,9.83,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-01 19:00:00,TX-ALPHA-01,48.71,49.15,43.78,0.69,40.3,11.1,17.16,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-01 20:00:00,TX-ALPHA-01,68.94,57.42,44.66,34.79,74.76,91.82,63.04,HIGH,ELEVATED DEGRADATION: Schedule field acoustic vibration test and oil sampling within 48 hours.
2026-06-01 21:00:00,TX-ALPHA-01,67.54,55.84,44.11,11.97,6.02,11.55,9.78,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-01 22:00:00,TX-ALPHA-01,74.03,59.64,45.24,16.96,2.78,7.53,9.64,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-01 23:00:00,TX-ALPHA-01,79.55,60.65,44.74,22.16,17.84,14.28,18.68,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-02 00:00:00,TX-ALPHA-01,78.24,59.82,45.58,21.14,10.7,8.51,14.33,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-02 01:00:00,TX-ALPHA-01,77.8,58.28,44.66,17.93,10.36,12.3,13.87,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-02 02:00:00,TX-ALPHA-01,73.71,53.36,39.33,18.89,19.22,6.86,16.0,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-02 03:00:00,TX-ALPHA-01,68.43,48.28,36.05,15.17,16.55,9.32,14.19,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-02 04:00:00,TX-ALPHA-01,126.12,70.44,33.96,46.66,96.78,16.36,56.63,MEDIUM,ADVISORY: Increase SCADA polling frequency to 5 minutes; monitor hot-spot temperature delta.
2026-06-02 05:00:00,TX-ALPHA-01,57.82,47.94,39.74,7.48,18.66,19.19,14.32,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-02 06:00:00,TX-ALPHA-01,52.05,45.96,39.07,1.79,24.63,5.12,10.61,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-02 07:00:00,TX-ALPHA-01,59.39,52.64,44.38,7.24,5.22,8.98,6.97,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-02 08:00:00,TX-ALPHA-01,66.99,57.65,44.49,13.01,3.95,13.06,9.85,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-02 09:00:00,TX-ALPHA-01,64.9,53.8,46.33,10.28,6.71,11.86,9.42,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-02 10:00:00,TX-ALPHA-01,79.12,73.92,58.69,32.74,18.45,9.2,21.85,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-02 11:00:00,TX-ALPHA-01,86.17,70.54,53.51,60.46,94.07,99.17,81.9,CRITICAL,URGENT DISPATCH: High-energy arcing detected. Trip breaker & schedule immediate physical oil de-gassing.
2026-06-02 12:00:00,TX-ALPHA-01,76.24,73.8,60.62,31.28,10.77,4.23,17.34,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
2026-06-02 13:00:00,TX-ALPHA-01,77.56,73.75,58.68,32.34,14.2,14.31,21.48,LOW,NOMINAL: Operating within normal thermal & electrical limits. Routine maintenance cycle.
