feature,importance,rank
H2_final,0.2536718002365119,1
C2H4_final,0.1898636802967438,2
TDCG_final,0.17371402926585464,3
C2H2_final,0.16275920154831897,4
H2_recent_10pct_slope,0.07776075385628223,5
C2H4_recent_10pct_slope,0.05302444784893923,6
C2H2_recent_10pct_slope,0.04157892033833469,7
CO_recent_10pct_slope,0.03786989742988998,8
CO_final,0.02323808976112468,9
C2H4_recent_20pct_slope,0.015927159731593088,10
H2_median,0.010580104366846444,11
C2H4_std,0.008395842120425179,12
CO_TDCG_ratio,0.007295081130828695,13
H2_recent_20pct_slope,0.007174944151895113,14
C2H4_abs_change,0.005730826196088179,15
C2H2_max,0.005349846435080419,16
TDCG_abs_change,0.005079704738573809,17
ratio_CO_H2,0.004961442667967086,18
C2H4_recent_10pct_mean,0.004623337007133887,19
H2_std,0.004393227099916852,20
C2H2_std,0.003981436024773122,21
C2H2_recent_20pct_slope,0.003933301672220335,22
CO_recent_20pct_slope,0.0028998457829894075,23
C2H2_abs_change,0.0027692193540483022,24
H2_recent_50pct_mean,0.00231468155310558,25
C2H4_cv,0.0019819978548453188,26
C2H4_range,0.0018321604782410073,27
ratio_C2H2_C2H4,0.0017839953216480687,28
C2H2_TDCG_ratio,0.0016251924530496064,29
CO_range,0.001600728897791437,30
CO_std,0.0015418388409578986,31
H2_range,0.0013787742902312105,32
C2H4_pct_change,0.0012637013271049047,33
TDCG_mean,0.0012422272121667243,34
H2_recent_10pct_mean,0.0011701714528126294,35
C2H2_cv,0.001113854214949994,36
C2H2_mean,0.0010649340439362943,37
C2H4_recent_50pct_mean,0.001061455562390534,38
C2H4_TDCG_ratio,0.0010226500402671034,39
CO_min,0.0010187904646444701,40
ratio_H2_C2H4,0.0008069314466627953,41
C2H4_min,0.0007611830628581062,42
H2_min,0.0007479962540130614,43
C2H2_range,0.0007423972987660177,44
H2_pct_change,0.0006689432062480516,45
H2_cv,0.0005044319828349075,46
H2_TDCG_ratio,0.00048205068431973476,47
CO_first,0.00047529567813863193,48
CO_mean,0.00046145327732529664,49
C2H2_first,0.0004443235096474707,50
C2H4_median,0.00041379506408448783,51
C2H2_min,0.00034752689902528555,52
CO_abs_change,0.0003051254909211765,53
C2H4_hydrocarbon_ratio,0.0002736471571902932,54
CO_recent_20pct_mean,0.00027254232375610864,55
CO_max,0.00024275477473891804,56
H2_mean,0.0002120034564860207,57
H2_abs_change,0.00018746408955964134,58
C2H4_max,0.00014042013838445612,59
H2_max,0.00011758670495843892,60
CO_recent_10pct_mean,0.00011053860301137863,61
C2H2_recent_10pct_mean,7.398012744102012e-05,62
TDCG_max,5.871845732905445e-05,63
H2_recent_20pct_mean,3.406523477803569e-05,64
CO_slope,0.0,65
H2_slope,0.0,66
C2H4_slope,0.0,67
C2H2_slope,0.0,68
TDCG_slope,0.0,69
C2H2_hydrocarbon_ratio,0.0,70
C2H4_first,-5.207453431675946e-05,71
CO_recent_50pct_mean,-0.00011214388849698498,72
H2_first,-0.00016795399579738746,73
CO_median,-0.00017408127503195647,74
C2H2_recent_50pct_mean,-0.00017435541971962953,75
C2H2_median,-0.00025183234272310175,76
C2H4_mean,-0.0003097211662426491,77
C2H4_recent_20pct_mean,-0.0003124246472952175,78
CO_pct_change,-0.0004001473504281816,79
CO_cv,-0.00045502610338339357,80
C2H2_pct_change,-0.0006746741051462335,81
C2H2_recent_20pct_mean,-0.0007396473699860962,82
